
1546013833.163505391, exp1 f mode
1546013833.163534323, face tracking, off
1546013835.166150161, reeti turn to, 1
1546013835.166180083, 1, v
1546013836.833149917, user press, v
1546013838.895863238, exp1 f mode
1546013838.895890384, face tracking, off
1546013840.899058766, reeti turn to, 0
1546013840.899087380, 0, u
1546013842.529937664, user press, u
1546013844.334553624, exp1 f mode
1546013844.334581275, face tracking, off
1546013846.337372986, reeti turn to, 0
1546013846.337418754, 0, v
1546013848.122440929, user press, v
1546013849.887569177, exp1 f mode
1546013849.887652011, face tracking, off
1546013851.891371376, reeti turn to, 1
1546013851.891444991, 0, v
1546013853.780381083, user press, v
1546013855.801175296, exp1 f mode
1546013855.801211319, face tracking, off
1546013857.803678476, reeti turn to, 0
1546013857.803713136, 0, v
1546013859.468258642, user press, v
1546013861.520103386, exp1 f mode
1546013861.520130366, face tracking, off
1546013863.522694217, reeti turn to, 1
1546013863.522766795, 0, u
1546013865.326695965, user press, u
1546013867.066226183, exp1 f mode
1546013867.066253754, face tracking, off
1546013869.068974701, reeti turn to, 1
1546013869.069004694, 0, v
1546013870.693601741, user press, v
1546013872.917983203, Reeti takes a break
1546013885.835327690, Reeti standby
1546013887.709684468, exp1 d mode
1546013887.713055184, face tracking, on
1546013889.716139578, reeti turn to, 0
1546013889.716181042, 1, v
1546013891.518879863, user press, v
1546013893.074814263, Reeti standby
1546013893.443797477, exp1 d mode
1546013893.449090253, face tracking, on
1546013895.452020076, reeti turn to, 1
1546013895.452055521, 1, u
1546013897.296213966, user press, u
1546013898.904060508, Reeti standby
1546013899.234950118, exp1 d mode
1546013899.238076717, face tracking, on
1546013901.241043863, reeti turn to, 0
1546013901.241098420, 1, u
1546013902.960885648, user press, u
1546013904.682960292, Reeti standby
1546013905.130963923, exp1 d mode
1546013905.135466930, face tracking, on
1546013907.139521628, reeti turn to, 1
1546013907.139569329, 0, u
1546013908.939365892, user press, u
1546013910.353874429, Reeti standby
1546013910.838612434, exp1 d mode
1546013910.844496853, face tracking, on
1546013912.848127919, reeti turn to, 1
1546013912.848169003, 1, u
1546013914.453911689, user press, u
1546013915.911078148, Reeti standby
1546013916.289367585, exp1 d mode
1546013916.292940603, face tracking, on
1546013918.298401395, reeti turn to, 1
1546013918.298478687, 0, v
1546013919.799599564, user press, v
1546013921.360315032, Reeti standby
1546013921.655930850, exp1 d mode
1546013921.658596296, face tracking, on
1546013923.663584819, reeti turn to, 1
1546013923.663658746, 1, u
1546013925.234895436, user press, u
1546013926.595590972, Reeti standby
1546013926.930854550, exp1 d mode
1546013926.942204008, face tracking, on
1546013928.945881063, reeti turn to, 1
1546013928.945920538, 1, u
1546013930.525117861, user press, u
1546013932.061187634, Reeti standby
1546013932.444167787, exp1 d mode
1546013932.448074821, face tracking, on
1546013934.456136341, reeti turn to, 1
1546013934.456178170, 0, v
1546013936.260245902, user press, v
1546013937.606560179, Reeti standby
1546013938.075350211, exp1 d mode
1546013938.078584236, face tracking, on
1546013940.081661139, reeti turn to, 0
1546013940.081708147, 0, v
1546013941.702714340, user press, v
1546013943.214963318, Reeti standby
1546013943.687045778, exp1 d mode
1546013943.689936242, face tracking, on
1546013945.694430331, reeti turn to, 0
1546013945.694505250, 0, v
1546013947.221250936, user press, v
1546013948.888807549, Reeti standby
1546013949.306779785, exp1 d mode
1546013949.311094810, face tracking, on
1546013951.314377476, reeti turn to, 0
1546013951.314432332, 1, v
1546013952.989769352, user press, v
1546013954.455944788, Reeti standby
1546013954.922047061, exp1 d mode
1546013954.925741869, face tracking, on
1546013956.929547622, reeti turn to, 0
1546013956.929585912, 1, u
1546013958.670714789, user press, u
