;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545793836.258101043, exp1 f mode
1545793836.258129382, face tracking, off
1545793838.261265125, reeti turn to, 1
1545793838.261371346, 1, v
1545793840.567842081, user press, v
1545793842.044287092, exp1 f mode
1545793842.044403529, face tracking, off
1545793844.050067675, reeti turn to, 0
1545793844.050125532, 0, u
1545793846.368778460, user press, u
1545793847.655696313, exp1 f mode
1545793847.655754004, face tracking, off
1545793849.659275564, reeti turn to, 1
1545793849.659477726, 1, v
1545793852.000566392, user press, v
1545793853.847125225, Reeti takes a break
1545793912.239847743, Reeti standby
1545793915.374795042, exp1 f mode
1545793915.374842100, face tracking, off
1545793917.381821017, reeti turn to, 1
1545793917.381883924, 0, v
1545793919.623514650, user press, v
1545793921.757488351, exp1 f mode
1545793921.757573538, face tracking, off
1545793923.760546152, reeti turn to, 1
1545793923.760582002, 1, v
1545793925.976742611, user press, v
1545793927.535891076, exp1 f mode
1545793927.535932518, face tracking, off
1545793929.538393462, reeti turn to, 0
1545793929.538455606, 0, v
1545793931.573990468, exp1 f mode
1545793931.574065378, face tracking, off
1545793933.580633205, reeti turn to, 1
1545793933.580668479, 1, u
1545793933.580747808, user press, v
1545793936.120111225, user press, u
1545793938.944910354, exp1 f mode
1545793938.945031720, face tracking, off
1545793940.951428040, reeti turn to, 1
1545793940.951459878, 1, u
1545793943.188965519, user press, u
1545793944.770960166, exp1 f mode
1545793944.770998057, face tracking, off
1545793946.773944903, reeti turn to, 1
1545793946.773988884, 0, u
1545793948.913421753, user press, u
1545793950.493585744, exp1 f mode
1545793950.493681215, face tracking, off
1545793952.496915450, reeti turn to, 0
1545793952.496975653, 1, u
1545793954.916984302, user press, u
1545793956.429784079, exp1 f mode
1545793956.429815827, face tracking, off
1545793958.432503137, reeti turn to, 1
1545793958.432539327, 1, u
1545793960.581926599, user press, u
1545793962.012461380, exp1 f mode
1545793962.012490177, face tracking, off
1545793964.015773233, reeti turn to, 0
1545793964.015892831, 0, u
1545793966.205933996, user press, u
1545793967.578142592, exp1 f mode
1545793967.578169821, face tracking, off
1545793969.581015347, reeti turn to, 0
1545793969.581051981, 0, u
